top_stories,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,0,0,0,7.07,0,0,1,1,0,1,0,0,0,0,0,0.0359288993582193,0.3823101699396679,0.0,0.0,0.0425870730476167,0.0,0.0,0.157110064178064,0.0,0.0,0.0,0.0,0.0,0.024878013604788,0.2341357594404249,0.0,0.0,0.0,0.0,0.0,1,1,0,2.1232191640257234,6.7581548974936965,709
1,0,0,0,129.253,0,0,1,0,0,0,0,1,0,0,0,0.0302147214705458,0.3093526331801516,0.0,0.0,0.0,0.1157083460095324,0.0,0.0,0.2092827139342118,0.2682603984863285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.475257804389512,11.035248293260464,1104
1,1,1,0,3.3430000000000004,0,0,1,1,0,1,0,0,0,0,0,0.1317052149527901,0.7371169826854307,0.0,0.0,0.0,0.0455825979572409,0.0,0.0266279039851809,0.0,0.0589673004193573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.2169877414034307,6.326802211774351,552
1,1,0,1,11.302,0,0,1,1,1,1,0,0,0,0,0,0.1166249003303337,0.0683961726848159,0.0,0.0,0.0,0.0,0.0,0.0403633671260963,0.0,0.0,0.1857557808406425,0.0,0.0,0.5888597790181115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.8787965274465748,7.365681266252053,1596
1,1,1,0,5.382999999999999,0,0,1,1,1,1,0,0,0,0,0,0.1135249134117486,0.1091412045768891,0.0,0.0,0.0,0.0,0.0,0.03417235348582,0.0,0.0,0.186407644913869,0.0,0.0,0.5567538836116732,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.056121573566775,7.858240652910125,361
1,0,0,0,78.168,0,0,0,0,0,1,0,0,0,0,0,0.0,0.92036558259545,0.0,0.0,0.0,0.0,0.0,0.0648214831586419,0.0,0.0,0.0,0.0,0.0,0.0146678617873962,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.3108714266137835,6.252019483420338,1565
1,0,0,0,300.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.9229561622117334,0.0,0.0,0.0,0.0,0.0,0.0475008678441714,0.0,0.0,0.0,0.0,0.0,0.02933054241556,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.7194329071573926,8.818657451691793,1565
1,0,0,0,119.876,0,0,0,0,0,1,0,0,0,0,0,0.0,0.8556481890459364,0.0,0.0,0.0,0.0,0.0,0.1443518109540636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.8257022989616174,5.423221652472041,633
1,1,1,0,41.145,1,0,0,0,0,0,0,0,0,0,0,0.0,0.5938326705219713,0.0585763159265754,0.0,0.0,0.0,0.0,0.0,0.3475910135514532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.703782474656201,7.8525860418994595,647
1,1,0,1,11.492,0,0,1,0,0,0,0,0,0,0,0,0.3907299028268551,0.4680543286219081,0.1412157685512367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.952459361320524,8.078704973275737,289
