scholarly_articles,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_map_results,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Finance and Banking,Sports,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,0,0,0,20.762,0,1,1,1,0,0,0,0,0,0,0,0.1826229618347966,0.2768993012005017,0.0,0.0,0.0,0.324538613151765,0.0700535298333631,0.0,0.0,0.0,0.0,0.0,0.0,0.011753046049095,0.0,0.1341325479304782,0.0,0.0,0,0,0,2.2269991060374505,4.855376222451896,1399
1,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0.067532117024722,0.0,0.0322735614811616,0.0,0.0305570549498002,0.3128576055273671,0.0,0.0,0.0,0.5567796610169491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.025683108645352,3.4705679595868264,1406
1,1,1,0,7.977,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.043960201967571,0.0,0.0,0.420317094048904,0.0,0.0,0.3486607862840695,0.1870619176994554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.43545376606847,4.4323275618279085,1409
1,1,1,0,4.862,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0172574598433355,0.0,0.0,0.3533176872199703,0.0,0.0,0.4306074552714193,0.1988173976652748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.180643422188804,4.097888275845466,1409
1,1,1,0,5.300000000000002,0,0,0,0,0,0,0,0,0,0,0,0.1906131922703227,0.0,0.0342653567958544,0.0,0.0,0.4814746842275721,0.0,0.0,0.0,0.1760498758501565,0.0,0.0,0.0,0.0,0.0223469718233833,0.0952499190327108,0.0,0.0,1,1,0,0.9317703027225416,5.242228380666108,1412
1,1,1,0,8.362,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1161623680325529,0.883837631967447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.3586661940024167,11.139914192602555,1430
1,1,1,0,1.967,0,0,0,1,0,0,0,0,0,0,0,0.0260189171354051,0.0,0.1109009207177199,0.0,0.0355780410394997,0.4428935046978601,0.0,0.0,0.0,0.3447129434685604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.265298508208029,3.635742355700808,1432
1,0,0,0,300.0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0833364348009477,0.0,0.0,0.3982222387633828,0.0,0.0,0.5184413264356694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.0430928449138284,6.860204446523804,266
1,0,0,0,37.304,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0752487038529549,0.0,0.0170273423873163,0.3486064163789683,0.0,0.0,0.4509268503927536,0.1081906869880068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.29696935420841,3.7903072467440495,1453
1,1,1,0,0.4029999999999999,0,0,1,0,0,0,0,0,0,0,0,0.3252505640691925,0.0,0.1045354896867348,0.0,0.0,0.5162393253572438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0338959739484186,8.194598573648264,1465
