ad,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_scholarly_articles,n_local_results,n_map_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,0,0,0,21.083,0,0,1,0,1,1,1,0,0,0,0,0,0,0.046839030043968,0.3456784216150693,0.0,0.0,0.0,0.0,0.0,0.0665156759228245,0.0,0.0,0.0938162910506085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.147450596044054,6.62884528576185,176
1,0,0,0,57.88200000000001,0,0,1,1,1,1,1,1,0,0,0,0,0,0.0816371779521972,0.3184947452441131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0978116269788479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.5100594684538216,3.0953965966669363,1589
1,1,1,0,13.142,0,0,1,0,1,1,1,1,0,0,0,0,0,0.1088675162554295,0.3554556039363925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885262984406483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.910134921963376,8.497515244347156,1189
1,0,0,0,25.41200000000001,0,0,1,0,1,1,1,1,0,0,0,0,0,0.0776891589652698,0.3037357049415536,0.0,0.0,0.0,0.0,0.0,0.0483605519686036,0.0,0.0,0.1265666540068362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.79661037808169,5.049804723883286,1350
1,0,0,0,5.0950000000000015,0,0,1,1,1,1,0,0,0,0,0,0,0,0.0700813599431185,0.3090917972460283,0.0224703245170779,0.0,0.0,0.0,0.0,0.0,0.0,0.0957756875430817,0.1419049841785034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.334471281856368,6.515008943281748,1237
1,1,1,0,68.99900000000001,0,0,1,1,1,1,1,0,0,0,0,0,0,0.03243815419004,0.3486416489350268,0.3114320717003032,0.0,0.0,0.0,0.0,0.0,0.0,0.0948159133406409,0.072189266447439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.4401885441665501,9.10424369653033,975
1,0,0,0,78.385,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0.6528215885012195,0.3093526331801516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378257783186289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.9749140123259008,8.241670493232101,731
1,0,0,0,77.34899999999999,0,0,1,1,1,1,1,1,0,0,0,0,0,0.1206317649657608,0.1034183786171857,0.3473050585376629,0.0,0.0,0.0,0.0,0.0,0.0,0.3244974596863266,0.0690910094985641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.861191298211677,10.45942294755514,1507
1,0,0,0,3.201,0,0,1,0,0,0,0,0,0,0,0,0,0,0.067532117024722,0.0,0.3972201230702796,0.0725197020403756,0.0,0.0,0.0,0.0,0.0,0.0,0.1275234805138724,0.0,0.0,0.3128576055273671,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.1012754060875931,6.328857788045911,616
1,0,0,0,33.492000000000004,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.1353503184713375,0.0494872071683039,0.0,0.0,0.7252833855122532,0.067532117024722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.947644362746936,8.486302550671397,1497
1,1,0,1,3.5900000000000003,0,0,0,1,1,0,0,1,0,0,0,0,0,0.1139436674286157,0.059199566076479,0.0,0.0,0.0,0.0807859698061549,0.0,0.0,0.0,0.4531530484418787,0.0,0.0,0.2563635659215064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.4913856158857093,4.605170185988092,616
1,0,0,0,3.902,0,0,0,1,1,0,0,0,0,0,0,0,0,0.1094569950500577,0.0568685101790166,0.0,0.0,0.0,0.0776049226493976,0.0,0.0,0.0,0.4490056694827992,0.0,0.0,0.2813837507908743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.601405740736836,8.191792083062623,616
1,0,0,0,33.4,0,0,0,1,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5847636892872082,0.0,0.0,0.0737185719420433,0.0,0.0,0.0,0.0,0.3415177387707483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2.1515296180740897,4.362027988167192,1733
1,1,0,0,8.597999999999999,0,0,0,1,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5847636892872082,0.0,0.0,0.0737185719420433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.8860848042494607,11.661165790153923,1733
1,1,1,0,14.353000000000002,0,0,1,1,0,0,0,0,0,1,0,0,0,0.0121516326410227,0.0,0.0,0.0,0.9878483673589772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.002290482491421,10.495504866719026,1609
1,1,1,0,18.292,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0227850609252715,0.0329062510319321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7614117931953023,0.0,1,1,0,2.429129634319002,4.935861459279546,618
1,0,0,0,2.7310000000000003,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0227850609252715,0.0329062510319321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7614117931953023,0.0,1,1,0,2.9064638057958088,4.848963064870147,618
